rainfall_mm,forecast_mm,soil_moisture,elevation_m,slope_deg,river_distance_km,temperature_c,river_level,flood
2,5,0.05,1200,12,6,21,0,0
4,8,0.08,950,18,4,20,0,0
6,10,0.12,700,20,3,22,0,0
8,12,0.16,600,24,2.5,23,1,0
10,15,0.18,500,22,2,24,1,0
12,18,0.20,450,25,1.8,24,1,0
15,22,0.24,380,28,1.5,25,1,1
18,28,0.28,320,30,1.2,24,2,1
20,35,0.32,250,35,1,23,2,1
22,40,0.35,200,38,0.8,22,2,1
25,45,0.38,180,40,0.6,22,2,1
28,50,0.42,150,42,0.5,21,3,1
30,55,0.45,120,45,0.4,20,3,1
35,60,0.48,90,48,0.3,20,3,1
40,70,0.52,70,50,0.2,19,3,1
5,8,0.10,1100,14,5,22,0,0
7,10,0.11,900,18,4.5,23,0,0
11,16,0.19,550,26,2,24,1,0
16,24,0.25,360,30,1.5,23,1,1
24,42,0.36,210,37,0.9,21,2,1
32,58,0.47,100,46,0.4,20,3,1
45,80,0.55,60,55,0.1,19,3,1
9,13,0.15,620,21,3,25,0,0
14,20,0.22,420,27,1.7,24,1,0
21,38,0.34,230,36,0.8,22,2,1
